"Time in JD"   VWAri   Check   Comparation 
0.24961   -15.803   -15.312   -14.169 
0.2497569   -15.731   -15.338   -14.104 
0.2501157   -15.865   -15.352   -14.259 
0.2502662   -15.885   -15.372   -14.256 
0.2504282   -15.875   -15.391   -14.254 
0.2505787   -15.875   -15.373   -14.248 
0.2507407   -15.869   -15.362   -14.252 
0.2509028   -15.879   -15.394   -14.292 
0.2510532   -15.889   -15.407   -14.291 
0.2512037   -15.922   -15.389   -14.293 
0.2513542   -15.852   -15.388   -14.224 
0.2515046   -15.868   -15.398   -14.228 
0.2516782   -15.865   -15.423   -14.236 
0.2518287   -15.919   -15.418   -14.301 
0.2519792   -15.899   -15.44   -14.307 
0.2521412   -15.934   -15.43   -14.319 
0.2522917   -15.876   -15.425   -14.27 
0.2524421   -15.899   -15.43   -14.305 
0.2525926   -15.89   -15.436   -14.295 
0.2527546   -15.917   -15.393   -14.331 
0.2529051   -15.969   -15.457   -14.361 
0.2530671   -15.965   -15.437   -14.366 
0.2532176   -15.953   -15.493   -14.398 
0.2533681   -15.982   -15.514   -14.399 
0.2535417   -15.959   -15.512   -14.405 
0.2537037   -15.976   -15.501   -14.404 
0.2538542   -15.979   -15.518   -14.407 
0.2539931   -16.001   -15.534   -14.417 
0.2541551   -15.985   -15.532   -14.425 
0.2543056   -15.984   -15.515   -14.429 
0.254456   -15.993   -15.516   -14.408 
0.2546065   -15.969   -15.507   -14.433 
0.2547685   -16.001   -15.507   -14.422 
0.254919   -15.899   -15.506   -14.24 
0.2550694   -15.976   -15.546   -14.415 
0.2552199   -15.846   -15.411   -14.197 
0.2553819   -15.855   -15.156   -14.276 
0.2555324   -15.779   -14.945   -14.151 
0.2556829   -15.71   -15.195   -14.064 
0.2558333   -15.697   -15.2   -14.082 
0.2559838   -15.99   -15.541   -14.388 
0.2561458   -16.004   -15.533   -14.434 
0.2563079   -15.955   -15.515   -14.388 
0.2564583   -16.021   -15.532   -14.417 
0.2566204   -15.987   -15.519   -14.409 
0.2567708   -15.983   -15.534   -14.406 
0.2569444   -16.031   -15.539   -14.41 
0.2571065   -16.008   -15.542   -14.436 
0.2572685   -16.035   -15.553   -14.444 
0.2574537   -16.024   -15.548   -14.438 
0.2576157   -16.046   -15.548   -14.451 
0.2577894   -16.011   -15.561   -14.441 
0.2579398   -16.024   -15.54   -14.414 
0.2581019   -16.003   -15.545   -14.437 
0.2582639   -16.065   -15.569   -14.445 
0.2584144   -16.052   -15.577   -14.463 
0.2585764   -16.023   -15.568   -14.466 
0.2587269   -16.032   -15.56   -14.464 
0.2588773   -16.05   -15.572   -14.47 
0.2590278   -16.073   -15.585   -14.468 
0.2592014   -16.036   -15.572   -14.471 
0.2593634   -16.041   -15.565   -14.474 
0.2595139   -16.048   -15.584   -14.455 
0.2596528   -16.02   -15.57   -14.476 
0.2598032   -16.011   -15.557   -14.474 
0.2599653   -16.031   -15.56   -14.447 
